21
# x y z
-15	0.657	0
-13.5	1.166	0
-12	1.608	0
-10.5	0.601	0
-9	0.393	0
-7.5	1.337	0
-6	1.405	0
-4.5	0.769	0
-3	0.681	0
-1.5	1.204	0
0	1.318	0
1.5	0.944	0
3	0.417	0
4.5	1.015	0
6	1.589	0
7.5	1.3	0
9	0.653	0
10.5	0.609	0
12	1.354	0
13.5	1.228	0
15	0.775	0
171
# a b m n err i ip iperr k r rhoa u valid 
7	8	12	13	7.81822871777304e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.16544759909167e+02	-1.76130944859432e-01	9.16908152945965e+01	-1.76130944859432e-01	1
8	9	13	14	1.23695071087808e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.64787845838022e+02	-2.04268270334387e-01	7.35928736527688e+01	-2.04268270334387e-01	1
9	10	14	15	1.32045661308428e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-7.18695268748456e+02	-9.43922047074093e-02	6.69434433188707e+01	-9.43922047074093e-02	1
10	11	15	16	5.21941565616899e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.02061107964363e+03	-6.62707069795602e-02	6.79896414210268e+01	-6.62707069795602e-02	1
11	12	16	17	2.96984673233178e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-8.03154930198323e+02	-8.42317657395427e-02	6.78520715033497e+01	-8.42317657395427e-02	1
12	13	17	18	2.50492850345875e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-3.16398833098577e+02	-2.23551739707008e-01	7.09086869548949e+01	-2.23551739707008e-01	1
13	14	18	19	3.46448209496985e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.14498150284713e+02	-1.52880232822743e-01	7.89291013743634e+01	-1.52880232822743e-01	1
14	15	19	20	6.80024721578479e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.14616593444411e+03	-7.45321119903346e-02	8.48452487258563e+01	-7.45321119903346e-02	1
15	16	20	21	2.32253697160993e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-8.52160367607818e+02	-1.01807765116616e-01	8.69580378247003e+01	-1.01807765116616e-01	1
1	2	7	8	2.93072473298691e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.07537676732134e+03	-8.36120398625674e-02	9.01779596247650e+01	-8.36120398625674e-02	1
2	3	8	9	7.14351418026369e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.42852297580732e+03	-6.55520526952460e-02	9.29736760498877e+01	-6.55520526952460e-02	1
3	4	9	10	1.86577451114475e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-9.71846668401709e+02	-9.81413646392002e-02	9.71579033545116e+01	-9.81413646392002e-02	1
4	5	10	11	4.73832920911788e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.03103330729424e+03	-9.59376204040251e-02	9.93835733339780e+01	-9.59376204040251e-02	1
5	6	11	12	1.19130349720265e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-9.75503001001706e+02	-1.03288519539192e-01	9.95579240951184e+01	-1.03288519539192e-01	1
6	7	12	13	6.56553608633834e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.29307531234092e+03	-7.03558268541338e-02	9.15726849430526e+01	-7.03558268541338e-02	1
7	8	13	14	9.74681670227327e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-8.71410265176644e+02	-8.36022991586600e-02	7.21418275471457e+01	-8.36022991586600e-02	1
8	9	14	15	7.87084603742452e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.20699207466576e+03	-5.40351176282066e-02	6.57332949846155e+01	-5.40351176282066e-02	1
9	10	15	16	1.15859557900739e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.19997007663899e+03	-5.32018011718721e-02	6.45802234445674e+01	-5.32018011718721e-02	1
10	11	16	17	8.20682318351710e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.29946931393252e+03	-4.88231517881925e-02	6.29235123289134e+01	-4.88231517881925e-02	1
11	12	17	18	9.63376129244327e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-9.05750571522416e+02	-6.94601650137549e-02	6.35196786110921e+01	-6.94601650137549e-02	1
12	13	18	19	4.12780926936507e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.05660940045274e+03	-6.08645608931324e-02	6.45755268855895e+01	-6.08645608931324e-02	1
13	14	19	20	8.22060159994489e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.05219496993832e+03	-7.10953941578893e-02	7.54211682186249e+01	-7.10953941578893e-02	1
14	15	20	21	1.89679298265396e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.45686545188746e+03	-5.62335920384254e-02	8.34787209065415e+01	-5.62335920384254e-02	1
1	2	8	9	2.45388116002878e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.23304488959823e+03	-7.38775151523877e-02	9.08707579466792e+01	-7.38775151523877e-02	1
2	3	9	10	7.53736164357491e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.49359899218069e+03	-3.74245901698914e-02	9.26185192676136e+01	-3.74245901698914e-02	1
3	4	10	11	8.89514429625519e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.27137555020423e+03	-4.11242439326073e-02	9.25777191941747e+01	-4.11242439326073e-02	1
4	5	11	12	8.15810284965429e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.60237044250289e+03	-5.98134638515850e-02	9.50614268241328e+01	-5.98134638515850e-02	1
5	6	12	13	7.71017094141024e-04	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-9.70578749071011e+02	-9.25552335646653e-02	8.97628806954558e+01	-9.25552335646653e-02	1
6	7	13	14	3.41151974816627e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.99774402616220e+03	-3.61482305054653e-02	7.24612741454877e+01	-3.61482305054653e-02	1
7	8	14	15	2.76690799330019e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.63554617994669e+03	-2.47577687344793e-02	6.54307842305623e+01	-2.47577687344793e-02	1
8	9	15	16	8.27183249036030e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.85886881345816e+03	-3.41223920775453e-02	6.39537249540804e+01	-3.41223920775453e-02	1
9	10	16	17	1.30018918779225e-04	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.40921548811243e+03	-4.43821967420837e-02	6.25522109589309e+01	-4.43821967420837e-02	1
10	11	17	18	1.45353407715731e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.34577560144325e+03	-4.62062686870247e-02	6.30871240384104e+01	-4.62062686870247e-02	1
11	12	18	19	2.64656833237950e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.74511327308645e+03	-2.20260405389712e-02	6.03039541923112e+01	-2.20260405389712e-02	1
12	13	19	20	2.72016916658961e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.98241218690284e+03	-3.13112518350696e-02	6.37602653863059e+01	-3.13112518350696e-02	1
13	14	20	21	6.25667347765010e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.23533979628968e+03	-5.78537364806184e-02	7.19161813794828e+01	-5.78537364806184e-02	1
1	2	9	10	8.57157556416282e-03	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.02890362058211e+03	-4.43719810824666e-02	8.92548043539173e+01	-4.43719810824666e-02	1
2	3	10	11	1.07089249806112e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.47957073625390e+03	-1.65233115042023e-02	8.95710611110777e+01	-1.65233115042023e-02	1
