ID;xa;xb;xm;xn;ya;yb;ym;yn;za;zb;zm;zn;idx_a;idx_b;idx_m;idx_n;rhoa;err;k;array;L;xDOI;yDOI;idx_cell_DOI;frechet_DOI;rhoa_th
59;-3.0;-1.5;4.5;6.0;0.6809999999999999;1.204;1.015;1.589;0.0;0.0;0.0;0.0;8;9;13;14;66.9434433188707;0.0132045661308428;-114.38390459807493;DD;9.449575844874701;1.6897084059229952;-0.7453696622323316;1047;-2.3732808153227155e-06;67.62986865837587
60;-1.5;0.0;6.0;7.5;1.204;1.318;1.589;1.3;0.0;0.0;0.0;0.0;9;10;14;15;67.9896414210268;0.00521941565616899;-162.43529829963978;DD;9.388600575341567;3.020027875229567;-0.6256133027718858;1022;-1.0247670099305014e-05;67.41625593843065
61;0.0;1.5;7.5;9.0;1.318;0.944;1.3;0.653;0.0;0.0;0.0;0.0;10;11;15;16;67.8520715033497;0.00296984673233178;-127.82607720968927;DD;9.517862582046897;4.359729528717981;-0.9128973556964983;1115;-9.21453591008377e-06;67.11459734969051
62;1.5;3.0;9.0;10.5;0.944;0.417;0.653;0.609;0.0;0.0;0.0;0.0;11;12;16;17;70.9086869548949;0.00250492850345875;-50.35643827614611;DD;9.472585398233814;5.9295306647747195;-1.1167060209776976;1403;1.8282304524003472e-06;70.79146920997115
63;3.0;4.5;10.5;12.0;0.417;1.015;0.609;1.3539999999999999;0.0;0.0;0.0;0.0;12;13;17;18;78.9291013743634;0.00346448209496985;-81.88492382944892;DD;9.557522955126736;7.697939015402691;-1.015728536418595;1207;-5.99970438710126e-07;78.64164855361648
64;4.5;6.0;12.0;13.5;1.015;1.589;1.3539999999999999;1.228;0.0;0.0;0.0;0.0;13;14;18;19;84.8452487258563;0.00680024721578479;-182.41797407032138;DD;9.447997924335624;9.044708004536233;-0.7675706142069967;1048;5.616696822814655e-06;84.76710665182993
65;6.0;7.5;13.5;15.0;1.589;1.3;1.228;0.775;0.0;0.0;0.0;0.0;14;15;19;20;86.9580378247003;0.00232253697160993;-135.62553481179089;DD;9.40883386103285;10.330496523638619;-0.6921170605066644;1122;9.980647452371097e-06;86.6439363556961
66;-15.0;-13.5;-6.0;-4.5;0.657;1.166;1.405;0.769;0.0;0.0;0.0;0.0;0;1;6;7;90.177959624765;0.00293072473298691;-171.15152820537423;DD;11.371922431623233;-9.725741278824978;-1.5612551101583083;1041;3.546708575689798e-07;89.40677773903407
67;-13.5;-12.0;-4.5;-3.0;1.166;1.6079999999999999;0.769;0.6809999999999999;0.0;0.0;0.0;0.0;1;2;7;8;92.9736760498877;0.00714351418026369;-227.356492920079;DD;11.290493656282209;-8.354191565421823;-1.3321936843899935;1652;1.0311750453996509e-06;93.00311271625772
68;-12.0;-10.5;-3.0;-1.5;1.6079999999999999;0.601;0.6809999999999999;1.204;0.0;0.0;0.0;0.0;2;3;8;9;97.1579033545116;0.0186577451114475;-154.67420120352207;DD;11.315289617423593;-6.837009466384889;-0.855384646141913;1155;6.7459451825645134e-06;94.90133951919
69;-10.5;-9.0;-1.5;0.0;0.601;0.393;1.204;1.318;0.0;0.0;0.0;0.0;3;4;9;10;99.383573333978;0.00473832920911788;-164.09404734826342;DD;11.012947452587422;-5.099944047336694;-1.23797211013209;1068;7.77813346402677e-06;98.37979195164272
70;-9.0;-7.5;0.0;1.5;0.393;1.337;1.318;0.944;0.0;0.0;0.0;0.0;4;5;10;11;99.5579240951184;0.0119130349720265;-155.25612461039964;DD;11.044517163991674;-3.6342444341214954;-1.5373683152891098;1255;1.6292733931690832e-06;100.37744687871357
71;-7.5;-6.0;1.5;3.0;1.337;1.405;0.944;0.417;0.0;0.0;0.0;0.0;5;6;11;12;91.5726849430526;0.00656553608633834;-205.79932774915392;DD;10.862075466419839;-2.439618473378145;-1.2871238809462204;1183;9.606662509484822e-07;90.61676878263128
72;-6.0;-4.5;3.0;4.5;1.405;0.769;0.417;1.015;0.0;0.0;0.0;0.0;6;7;12;13;72.1418275471457;0.00974681670227327;-138.6892511638822;DD;10.975342652669415;-0.8314749351409697;-0.9835559461030292;1194;7.460961246671009e-06;72.74113467000377
73;-4.5;-3.0;4.5;6.0;0.769;0.6809999999999999;1.015;1.589;0.0;0.0;0.0;0.0;7;8;13;14;65.7332949846155;0.00787084603742452;-192.09875495579772;DD;10.952154960928162;0.9205429610486631;-1.0047818183060524;1184;-3.599744791169619e-08;64.99214033231513
74;-3.0;-1.5;6.0;7.5;0.6809999999999999;1.204;1.589;1.3;0.0;0.0;0.0;0.0;8;9;14;15;64.5802234445674;0.0115859557900739;-190.98116925945573;DD;10.97716250362765;2.379201655234341;-1.2011274312771918;1027;-1.3457988945080219e-06;63.474112152635534
75;-1.5;0.0;7.5;9.0;1.204;1.318;1.3;0.653;0.0;0.0;0.0;0.0;9;10;15;16;62.9235123289134;0.0082068231835171;-206.8169647085945;DD;11.022188344639561;3.634478458396267;-1.2729086875484579;1025;3.9652761560636404e-07;62.79090424706982
76;0.0;1.5;9.0;10.5;1.318;0.944;0.653;0.609;0.0;0.0;0.0;0.0;10;11;16;17;63.5196786110921;0.00963376129244327;-144.1546806661018;DD;11.01850777662155;5.101535749775648;-1.2351948199657234;1408;4.927003706216109e-06;62.97615810211302
77;1.5;3.0;10.5;12.0;0.944;0.417;0.609;1.3539999999999999;0.0;0.0;0.0;0.0;11;12;17;18;64.5755268855895;0.00412780926936507;-168.16460899941748;DD;11.147406284179532;6.836989642776091;-1.0787835345096486;1406;1.7906545990318313e-06;63.806829307144305
78;3.0;4.5;12.0;13.5;0.417;1.015;1.3539999999999999;1.228;0.0;0.0;0.0;0.0;12;13;18;19;75.4211682186249;0.00822060159994489;-167.46203056211183;DD;11.0628056528284;8.420386523642255;-1.3834907499922087;994;2.149412192203732e-06;74.68770737702229
79;4.5;6.0;13.5;15.0;1.015;1.589;1.228;0.775;0.0;0.0;0.0;0.0;13;14;19;20;83.4787209065415;0.0189679298265396;-231.8673380876971;DD;11.014908579095493;9.699659280721427;-1.3074064684375992;1080;-3.98856268430614e-06;81.33558864912702
80;-15.0;-13.5;-4.5;-3.0;0.657;1.166;0.769;0.6809999999999999;0.0;0.0;0.0;0.0;0;1;7;8;90.8707579466792;0.00245388116002878;-196.24518923375865;DD;12.874501547676694;-8.9948502096805;-1.9058951597501697;1024;3.35010965627748e-07;89.99580499233286
81;-13.5;-12.0;-3.0;-1.5;1.166;1.6079999999999999;0.6809999999999999;1.204;0.0;0.0;0.0;0.0;1;2;8;9;92.6185192676136;0.00753736164357491;-396.8686056945253;DD;12.879055584568293;-7.491843305693097;-1.3907982021800493;1392;1.4800242841875244e-06;92.00157540969313
82;-12.0;-10.5;-1.5;0.0;1.6079999999999999;0.601;1.204;1.318;0.0;0.0;0.0;0.0;2;3;9;10;92.5777191941747;0.00889514429625519;-361.50064643307667;DD;12.819615380016256;-6.061943388647186;-1.1001747026421898;1390;3.137546544706857e-06;92.73996198169117
83;-10.5;-9.0;0.0;1.5;0.601;0.393;1.318;0.944;0.0;0.0;0.0;0.0;3;4;10;11;95.0614268241328;0.00815810284965429;-255.02517658868263;DD;12.55886983097516;-4.42823443796204;-1.7382485261093947;1453;6.713198221890882e-08;95.13924645059846
84;-9.0;-7.5;1.5;3.0;0.393;1.337;0.944;0.417;0.0;0.0;0.0;0.0;4;5;11;12;89.7628806954558;0.000771017094141024;-154.47240557459972;DD;12.634400493044467;-2.994946249910272;-2.1218750448638577;1399;-9.626329469252977e-07;89.18971265154279
85;-7.5;-6.0;3.0;4.5;1.337;1.405;0.417;1.015;0.0;0.0;0.0;0.0;5;6;12;13;72.4612741454877;0.00341151974816627;-317.95083679601885;DD;12.476883194912613;-1.5669351798877895;-1.3184787535822193;1180;2.4659629784290933e-06;71.65533181860751
86;-6.0;-4.5;4.5;6.0;1.405;0.769;1.015;1.589;0.0;0.0;0.0;0.0;6;7;13;14;65.4307842305623;0.00276690799330019;-419.4602022854776;DD;12.581417370732058;0.03857847842231417;-1.0189877231944031;1200;2.028532293575755e-06;64.6732437577458
87;-4.5;-3.0;6.0;7.5;0.769;0.6809999999999999;1.589;1.3;0.0;0.0;0.0;0.0;7;8;14;15;63.9537249540804;0.0082718324903603;-295.8481602212325;DD;12.47974161968111;1.6103377420644185;-1.4590082952410972;1400;1.5254754159011485e-06;62.84413888890805
88;-3.0;-1.5;7.5;9.0;0.6809999999999999;1.204;1.3;0.653;0.0;0.0;0.0;0.0;8;9;15;16;62.5522109589309;0.000130018918779225;-224.2836108147513;DD;12.610750272925646;2.994114999226226;-1.8551431887602383;1473;8.570932057065352e-07;61.60854190048975
89;-1.5;0.0;9.0;10.5;1.204;1.318;0.653;0.609;0.0;0.0;0.0;0.0;9;10;16;17;63.0871240384104;0.0145353407715731;-214.1868392621617;DD;12.522833539214215;4.375967607722903;-1.5949936257565716;1381;3.3311216756208736e-06;61.79127826964136
90;0.0;1.5;10.5;12.0;1.318;0.944;0.609;1.3539999999999999;0.0;0.0;0.0;0.0;10;11;17;18;60.3039541923112;0.0026465683323795;-436.8983467588805;DD;12.69332866256727;6.007615962925784;-1.2026543085947696;1403;1.2735838570092278e-06;59.66222679442711
91;1.5;3.0;12.0;13.5;0.944;0.417;1.3539999999999999;1.228;0.0;0.0;0.0;0.0;11;12;18;19;63.7602653863059;0.0272016916658961;-315.51069879120126;DD;12.652688981881195;7.559872629199086;-1.4438294027782783;1203;9.904883104574624e-07;61.55218711217477
92;3.0;4.5;13.5;15.0;0.417;1.015;1.228;0.775;0.0;0.0;0.0;0.0;12;13;19;20;71.9161813794828;0.0062566734776501;-196.6104349776376;DD;12.62971630758827;9.075323794622317;-1.928819931474349;1416;-4.348580241935191e-07;71.3056220636989
93;-15.0;-13.5;-3.0;-1.5;0.657;1.166;0.6809999999999999;1.204;0.0;0.0;0.0;0.0;0;1;8;9;89.2548043539173;0.00857157556416282;-322.91004027268616;DD;14.463063475962777;-8.132891710806373;-1.959741140976179;1570;9.622983314950586e-07;88.50655837457049
