ID;xa;xb;xm;xn;ya;yb;ym;yn;za;zb;zm;zn;idx_a;idx_b;idx_m;idx_n;rhoa;err;k;array;L;b;b_on_L;DOI_coef;xDOI;yDOI;idx_cell_DOI;frechet_DOI;rhoa_th
34;9.0;10.5;13.5;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16;17;19;20;86.1264818719915;0.0100013039188793;-18.00000000000007;DD;6.0;3.0;0.5;0.13705275229357744;12.0;-0.8223165137614646;695;0.0007517624107996529;86.33905231072266
35;-15.0;-13.5;-9.0;-7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;4;5;80.0382147597772;0.0100035077547265;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;-11.25;-1.1340760157273884;2016;8.364642248699595e-05;80.1310058693491
36;-13.5;-12.0;-7.5;-6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;5;6;83.3118646724555;0.0100033699216148;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;-9.75;-1.1340760157273884;1041;8.698735029184925e-05;83.50553351956009
37;-12.0;-10.5;-6.0;-4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;3;6;7;89.1082490664383;0.0100031507127573;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;-8.25;-1.1340760157273884;881;9.435347059695971e-05;89.35131947255708
38;-10.5;-9.0;-4.5;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;4;7;8;95.8067682220082;0.010002930424918;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;-6.75;-1.1340760157273884;1120;0.00011923923650763096;96.12147573241894
39;-9.0;-7.5;-3.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;5;8;9;100.284575909615;0.0100027995787426;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;-5.25;-1.1340760157273884;743;0.00012259728179132756;100.63341482824619
40;-7.5;-6.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;6;9;10;99.7414120364451;0.0100028148244362;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;-3.75;-1.1340760157273884;821;0.00011417017532958521;99.9874520802571
41;-6.0;-4.5;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;7;10;11;93.46126119232;0.0100030039668062;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;-2.25;-1.1340760157273884;746;0.00015932970012708797;93.73326888765583
42;-4.5;-3.0;1.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;8;11;12;76.7838646873663;0.0100036564244026;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;-0.75;-1.1340760157273884;823;7.657602642721607e-05;76.80965409677984
43;-3.0;-1.5;3.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;9;12;13;60.6010275930723;0.0100046328290722;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;0.75;-1.1340760157273884;768;9.01701139085033e-05;60.56583617099745
